Year,Month,Region,Model,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Estimated_Deliveries
2015,6,Asia-Pacific,Model S,851,87613.65,95.2,507.3,72.89,809
2015,6,Europe,Model S,918,87613.65,95.2,507.3,86.43,953
2015,6,North America,Model S,1399,87613.65,95.2,507.3,120.44,1362
2015,6,Rest of World,Model S,202,87613.65,95.2,507.3,18.51,209
2015,7,Asia-Pacific,Model S,560,87550.83,94.4,502.2,51.66,575
2015,7,Europe,Model S,630,87550.83,94.4,502.2,51.88,598
2015,7,North America,Model S,779,87550.83,94.4,502.2,73.57,779
2015,7,Rest of World,Model S,118,87550.83,94.4,502.2,10.54,112
2015,8,Asia-Pacific,Model S,664,88697.41,94.6,503.3,58.63,675
2015,8,Europe,Model S,702,88697.41,94.6,503.3,65.72,695
2015,8,North America,Model S,964,88697.41,94.6,503.3,83.55,881
2015,8,Rest of World,Model S,137,88697.41,94.6,503.3,11.67,135
2015,9,Asia-Pacific,Model S,883,88765.28,94.7,506.6,86.82,927
2015,9,Europe,Model S,965,88765.28,94.7,506.6,86.82,923
2015,9,North America,Model S,1269,88765.28,94.7,506.6,104.0,1183
2015,9,Rest of World,Model S,184,88765.28,94.7,506.6,16.71,181
2015,10,Asia-Pacific,Model S,465,89086.85,94.6,491.3,42.14,464
2015,10,Europe,Model S,483,89086.85,94.6,491.3,43.04,506
2015,10,North America,Model S,673,89086.85,94.6,491.3,63.1,687
2015,10,Rest of World,Model S,104,89086.85,94.6,491.3,9.75,110
2015,11,Asia-Pacific,Model S,588,87882.61,95.3,490.6,45.0,532
2015,11,Europe,Model S,705,87882.61,95.3,490.6,60.86,672
2015,11,North America,Model S,917,87882.61,95.3,490.6,79.2,896
2015,11,Rest of World,Model S,137,87882.61,95.3,490.6,12.64,138
2015,12,Asia-Pacific,Model S,927,91639.83,95.7,493.7,74.93,857
2015,12,Europe,Model S,1048,91639.83,95.7,493.7,89.22,1056
2015,12,North America,Model S,1433,91639.83,95.7,493.7,121.84,1381
2015,12,Rest of World,Model S,229,91639.83,95.7,493.7,20.03,225
2016,1,Asia-Pacific,Model S,601,92547.62,94.5,516.9,52.4,576
2016,1,Europe,Model S,673,92547.62,94.5,516.9,61.7,663
2016,1,North America,Model S,995,92547.62,94.5,516.9,95.29,1045
2016,1,Rest of World,Model S,159,92547.62,94.5,516.9,14.03,151
2016,2,Asia-Pacific,Model S,930,92622.51,95.3,502.3,74.61,865
2016,2,Europe,Model S,1017,92622.51,95.3,502.3,87.03,950
2016,2,North America,Model S,1482,92622.51,95.3,502.3,134.8,1511
2016,2,Rest of World,Model S,217,92622.51,95.3,502.3,19.05,207
2016,3,Asia-Pacific,Model S,1286,88523.08,94.4,510.4,121.91,1286
2016,3,Europe,Model S,1358,88523.08,94.4,510.4,127.86,1341
2016,3,North America,Model S,2122,88523.08,94.4,510.4,200.9,2095
2016,3,Rest of World,Model S,312,88523.08,94.4,510.4,27.23,285
2016,4,Asia-Pacific,Model S,656,92162.26,94.7,510.2,56.91,652
2016,4,Europe,Model S,791,92162.26,94.7,510.2,73.3,787
2016,4,North America,Model S,1055,92162.26,94.7,510.2,101.21,1061
2016,4,Rest of World,Model S,153,92162.26,94.7,510.2,13.29,144
2016,5,Asia-Pacific,Model S,919,88511.05,94.5,511.8,85.82,944
2016,5,Europe,Model S,1084,88511.05,94.5,511.8,100.64,1085
2016,5,North America,Model S,1470,88511.05,94.5,511.8,145.18,1538
2016,5,Rest of World,Model S,218,88511.05,94.5,511.8,20.81,223
2016,6,Asia-Pacific,Model S,1422,91591.98,95.1,507.6,132.71,1393
2016,6,Asia-Pacific,Model X,900,102118.06,99.8,446.3,79.05,965
2016,6,Europe,Model S,1461,91591.98,95.1,507.6,132.96,1394
2016,6,Europe,Model X,982,102118.06,99.8,446.3,74.71,969
2016,6,North America,Model S,2038,91591.98,95.1,507.6,183.08,2104
2016,6,North America,Model X,1436,102118.06,99.8,446.3,116.28,1387
2016,6,Rest of World,Model S,302,91591.98,95.1,507.6,30.69,321
